Catid,Root category,Sub category,Sub-sub category,Sub-sub-sub category,Sub-sub-sub-sub category,Sub-sub-sub-sub-sub category
1980,Baby & kind,Baby & kind,,,,
6516,Activiteitsbenodigdheden voor baby's,Activiteitsbenodigdheden voor baby's,,,,
5967,Accessoires voor babymobiels,Accessoires voor babymobiels,Accessoires voor babymobiels,,,
8192,Accessoires voor babyschommelstoelen & wipstoelen,Accessoires voor babyschommelstoelen & wipstoelen,Accessoires voor babyschommelstoelen & wipstoelen,,,
6856,Attributen voor babymijlpalen,Attributen voor babymijlpalen,Attributen voor babymijlpalen,,,
2096,Babyjumpers,Babyjumpers,Babyjumpers,,,
2077,Babyloopstoelen,Babyloopstoelen,Babyloopstoelen,,,
2084,Babymobilen,Babymobilen,Babymobilen,,,
8611,Babyschommelstoelen,Babyschommelstoelen,Babyschommelstoelen,,,
2409,Babyspeelrekken en -matten,Babyspeelrekken en -matten,Babyspeelrekken en -matten,,,
2078,Babyswings,Babyswings,Babyswings,,,
3660,Box accessoires,Box accessoires,Box accessoires,,,
4367,Hangend babyspeelgoed,Hangend babyspeelgoed,Hangend babyspeelgoed,,,
3847,Kindermeetlatten,Kindermeetlatten,Kindermeetlatten,,,
2075,Playpennen,Playpennen,Playpennen,,,
2530,Rammelaars,Rammelaars,Rammelaars,,,
2094,Wipstoeltjes,Wipstoeltjes,Wipstoeltjes,,,
1697,Baby cadeausets,Baby cadeausets,,,,
1988,Babybadjes & -potjes,Babybadjes & -potjes,,,,
9206,Accessoires voor neuszuigers voor baby's,Accessoires voor neuszuigers voor baby's,Accessoires voor neuszuigers voor baby's,,,
7123,Baby-huidverzorgingsproducten,Baby-huidverzorgingsproducten,Baby-huidverzorgingsproducten,,,
5145,Babybubbelbaden,Babybubbelbaden,,Babybubbelbaden,,
5146,Babyzeep,Babyzeep,,Babyzeep,,
5084,Badsets en huidverzorgingssets voor baby's,Badsets en huidverzorgingssets voor baby's,,Badsets en huidverzorgingssets voor baby's,,
7127,Bodylotions en -melk voor baby's,Bodylotions en -melk voor baby's,,Bodylotions en -melk voor baby's,,
